454,60000.0,10,12,45,Trạng Quỷnh
1653236933,65000.0,4,1653236921,23,Bức thư hối hận
1653237269,78000.0,3,1653237255,13,Cẩm nang cấp cứu
1653237735,14500.0,4,1653237711,25,Số đỏ
1653317631,60000.0,2,1653317614,45,Trạng Quỷnh
1653318191,130000.0,5,1653318182,3,Dấu ấn Việt Nam
1653318231,130000.0,5,1653318222,3,Dấu ấn Việt Nam
1653318322,130000.0,5,1653318306,3,Dấu ấn Việt Nam
1653322064,64000.0,5,1653322027,10,Từ điển Anh Việt
1653322600,60000.0,10,1653322582,45,Trạng Quỷnh
1653322760,60000.0,4,1653322700,45,Trạng Quỷnh
1653323235,60000.0,10,1653323225,45,Trạng Quỷnh
1653358298,14500.0,5,1653358282,25,Số đỏ
1653378021,60000.0,2,1653377996,45,Trạng Quỷnh
1653387388,55000.0,2,1653387372,45,Trạng Quỳnh
1653387975,55000.0,10,1653387957,45,Trạng Quỳnh
1653399892,98000.0,60,1653399875,12,Sóng
1653400056,130000.0,10,1653400046,3,Dấu ấn Việt Nam 
1653400189,130000.0,15,1653400179,3,Dấu ấn Việt Nam 
